Sexo;Comunidades autonomas;Medidas y percentiles;Periodo;Total
Ambos sexos;La Rioja;Mediana;2022;22.042
Ambos sexos;La Rioja;Mediana;2021;20.930
Ambos sexos;La Rioja;Mediana;2020;20.432
Ambos sexos;La Rioja;Mediana;2019;19.944
Ambos sexos;La Rioja;Mediana;2018;19.996
Ambos sexos;La Rioja;Mediana;2017;19.539
Ambos sexos;La Rioja;Mediana;2016;19.508
Ambos sexos;La Rioja;Mediana;2015;19.136
Ambos sexos;La Rioja;Mediana;2014;19.049
Ambos sexos;La Rioja;Mediana;2013;17.765
Ambos sexos;La Rioja;Mediana;2012;17.897
Ambos sexos;La Rioja;Mediana;2011;18.615
Ambos sexos;La Rioja;Mediana;2010;18.632
Ambos sexos;La Rioja;Mediana;2009;18.563
Ambos sexos;La Rioja;Mediana;2008;17.827
