;Fecha;Provincia;Viajeros;Comunidad;Viajeros_normalizado
237;2005-05-01;Cantabria;3297.0;Cantabria;0.10864693864100705
239;2005-05-01;Castellon;9119.0;Valencia;0.098860593445431
241;2005-05-01;Cordoba;788.0;Andalucia;0.07354862796341236
243;2005-05-01;Girona;18321.0;Cataluna;0.12631078202237894
245;2005-05-01;Granada;7328.0;Andalucia;0.16502274467414313
247;2005-05-01;Guipuzcoa;138.0;Pais Vasco;0.009924487594390506
249;2005-05-01;Huelva;3011.0;Andalucia;0.09623497826642802
251;2005-05-01;Huesca;1029.0;Aragon;0.06464379947229551
253;2005-05-01;Islas Baleares;138581.0;Islas Baleares;0.42295824469627374
255;2005-05-01;Jaen;2067.0;Andalucia;0.19740234934581224
257;2005-05-01;La Rioja;402.0;La Rioja;0.02607849497242945
259;2005-05-01;Las Palmas;181072.0;Canarias;0.552754891156691
261;2005-05-01;Lleida;381.0;Cataluna;0.048051456678017405
263;2005-05-01;Lugo;392.0;Galicia;0.02456448176463216
265;2005-05-01;Madrid;21939.0;Comunidad de Madrid;0.29156367115859977
267;2005-05-01;Malaga;36429.0;Andalucia;0.20430722638176158
269;2005-05-01;Murcia;6943.0;Region de Murcia;0.21167682926829268
271;2005-05-01;Navarra;2659.0;Navarra;0.0995768265737932
273;2005-05-01;Santa Cruz de Tenerife;81354.0;Canarias;0.559533962419874
275;2005-05-01;Sevilla;4477.0;Andalucia;0.07383767915161711
277;2005-05-01;Tarragona;23547.0;Cataluna;0.2864563691439277
279;2005-05-01;Valencia;3911.0;Valencia;0.05339540725773421
281;2005-06-01;A Coruna;998.0;Galicia;0.05686285681727537
283;2005-06-01;Alicante;56929.0;Valencia;0.23553189024592064
285;2005-06-01;Almeria;11940.0;Andalucia;0.22187534842234363
287;2005-06-01;Asturias;2596.0;Principado de Asturias;0.09905750372038005
289;2005-06-01;Barcelona;9050.0;Cataluna;0.22168875388873918
291;2005-06-01;Cadiz;2922.0;Andalucia;0.048260029398648985
293;2005-06-01;Cantabria;4757.0;Cantabria;0.15675871614051276
295;2005-06-01;Castellon;19084.0;Valencia;0.20689281339100835
297;2005-06-01;Cordoba;782.0;Andalucia;0.0729886130296808
299;2005-06-01;Girona;26888.0;Cataluna;0.1853743958854716
301;2005-06-01;Granada;7693.0;Andalucia;0.1732423546367608
303;2005-06-01;Guipuzcoa;234.0;Pais Vasco;0.016828478964401296
305;2005-06-01;Huelva;5862.0;Andalucia;0.18735617489133213
307;2005-06-01;Huesca;1742.0;Aragon;0.10943585877622818
309;2005-06-01;Islas Baleares;194769.0;Islas Baleares;0.5944476830247186
311;2005-06-01;Jaen;2436.0;Andalucia;0.23264253652946232
313;2005-06-01;La Rioja;220.0;La Rioja;0.014271813168991242
315;2005-06-01;Las Palmas;195808.0;Canarias;0.597739185117574
317;2005-06-01;Lleida;1800.0;Cataluna;0.22701475595913734
319;2005-06-01;Lugo;864.0;Galicia;0.0541421230730668
321;2005-06-01;Madrid;22281.0;Comunidad de Madrid;0.29610876325651864
323;2005-06-01;Malaga;43948.0;Andalucia;0.2464765430021592
325;2005-06-01;Murcia;8788.0;Region de Murcia;0.2679268292682927
327;2005-06-01;Navarra;2392.0;Navarra;0.08957795004306632
329;2005-06-01;Santa Cruz de Tenerife;86129.0;Canarias;0.5923753060606894
331;2005-06-01;Sevilla;3358.0;Andalucia;0.05538238253096499
333;2005-06-01;Tarragona;38572.0;Cataluna;0.46924003357623384
335;2005-06-01;Valencia;10024.0;Valencia;0.13685388963219836
337;2005-07-01;A Coruna;1516.0;Galicia;0.08637684462423793
339;2005-07-01;Alicante;78354.0;Valencia;0.3241733690795353
341;2005-07-01;Almeria;12615.0;Andalucia;0.2344185527929535
343;2005-07-01;Asturias;6778.0;Principado de Asturias;0.2586331896058305
345;2005-07-01;Barcelona;9853.0;Cataluna;0.24135903779732013
347;2005-07-01;Cadiz;5305.0;Andalucia;0.0876178836275951
349;2005-07-01;Cantabria;10767.0;Cantabria;0.3548078824227246
351;2005-07-01;Castellon;34930.0;Valencia;0.37868193102850145
353;2005-07-01;Cordoba;616.0;Andalucia;0.057494866529774126
355;2005-07-01;Girona;65405.0;Cataluna;0.4509228043323888
357;2005-07-01;Granada;7118.0;Andalucia;0.16029365401071927
359;2005-07-01;Guipuzcoa;274.0;Pais Vasco;0.019705142035239123
361;2005-07-01;Huelva;7160.0;Andalucia;0.22884172845819484
363;2005-07-01;Huesca;2184.0;Aragon;0.13720316622691292
365;2005-07-01;Islas Baleares;260620.0;Islas Baleares;0.7954292271865758
367;2005-07-01;Jaen;4196.0;Andalucia;0.400725814153376
369;2005-07-01;La Rioja;447.0;La Rioja;0.02899772948426857
371;2005-07-01;Las Palmas;270989.0;Canarias;0.8272427277528306
373;2005-07-01;Lleida;2413.0;Cataluna;0.3043258922941102
375;2005-07-01;Lugo;1983.0;Galicia;0.124263692192004
377;2005-07-01;Madrid;19581.0;Comunidad de Madrid;0.26022645722031734
379;2005-07-01;Malaga;52378.0;Andalucia;0.29375508258321414
381;2005-07-01;Murcia;12240.0;Region de Murcia;0.37317073170731707
383;2005-07-01;Navarra;2493.0;Navarra;0.0933602965958881
385;2005-07-01;Santa Cruz de Tenerife;138977.0;Canarias;0.9558516052711217
387;2005-07-01;Sevilla;2776.0;Andalucia;0.04578364916794485
389;2005-07-01;Tarragona;49972.0;Cataluna;0.6079244778044063
391;2005-07-01;Valencia;19493.0;Valencia;0.26613057368320453
393;2005-08-01;A Coruna;2258.0;Galicia;0.12865363796934648
395;2005-08-01;Alicante;100150.0;Valencia;0.41434978320590476
397;2005-08-01;Almeria;16794.0;Andalucia;0.31207492474077375
399;2005-08-01;Asturias;8938.0;Principado de Asturias;0.3410539168924333
401;2005-08-01;Barcelona;10804.0;Cataluna;0.26465472895181635
403;2005-08-01;Cadiz;5969.0;Andalucia;0.09858457066411218
405;2005-08-01;Cantabria;12272.0;Cantabria;0.40440255717392737
407;2005-08-01;Castellon;35956.0;Valencia;0.3898049674222959
409;2005-08-01;Cordoba;659.0;Andalucia;0.061508306888183685
411;2005-08-01;Girona;80888.0;Cataluna;0.5576675146676594
413;2005-08-01;Granada;9601.0;Andalucia;0.21620952123586903
415;2005-08-01;Guipuzcoa;411.0;Pais Vasco;0.029557713052858686
417;2005-08-01;Huelva;7886.0;Andalucia;0.25204551265660957
419;2005-08-01;Huesca;3908.0;Aragon;0.24550822967709512
421;2005-08-01;Islas Baleares;286501.0;Islas Baleares;0.8744197261076707
423;2005-08-01;Jaen;5402.0;Andalucia;0.5159010600706714
425;2005-08-01;La Rioja;386.0;La Rioja;0.025040544923775544
427;2005-08-01;Las Palmas;301475.0;Canarias;0.9203067332964977
429;2005-08-01;Lleida;3905.0;Cataluna;0.49249590112246183
431;2005-08-01;Lugo;1762.0;Galicia;0.11041483895224966
433;2005-08-01;Madrid;17422.0;Comunidad de Madrid;0.23153390213433273
435;2005-08-01;Malaga;55094.0;Andalucia;0.3089874092145481
437;2005-08-01;Murcia;12422.0;Region de Murcia;0.37871951219512195
439;2005-08-01;Navarra;2719.0;Navarra;0.10182376512002397
441;2005-08-01;Santa Cruz de Tenerife;144830.0;Canarias;0.9961071831412144
443;2005-08-01;Sevilla;3099.0;Andalucia;0.05111078125773094
445;2005-08-01;Tarragona;57679.0;Cataluna;0.701682461283926
447;2005-08-01;Valencia;27295.0;Valencia;0.37264833574529665
449;2005-09-01;A Coruna;812.0;Galicia;0.046265170075779155
451;2005-09-01;Alicante;61575.0;Valencia;0.25475374838645615
453;2005-09-01;Almeria;8922.0;Andalucia;0.16579328799197235
455;2005-09-01;Asturias;3876.0;Principado de Asturias;0.14789941618651506
457;2005-09-01;Barcelona;10760.0;Cataluna;0.26357690517600374
459;2005-09-01;Cadiz;3724.0;Andalucia;0.06150593753612896
461;2005-09-01;Cantabria;6356.0;Cantabria;0.20945099848414947
463;2005-09-01;Castellon;20662.0;Valencia;0.22400017345865722
465;2005-09-01;Cordoba;844.0;Andalucia;0.07877543401157364
467;2005-09-01;Girona;27350.0;Cataluna;0.18855957034616366
469;2005-09-01;Granada;8947.0;Andalucia;0.20148178174120615
471;2005-09-01;Guipuzcoa;178.0;Pais Vasco;0.012801150665228335
473;2005-09-01;Huelva;5146.0;Andalucia;0.16447200204551266
475;2005-09-01;Huesca;1110.0;Aragon;0.06973237843950245
477;2005-09-01;Islas Baleares;204219.0;Islas Baleares;0.6232896989748113
479;2005-09-01;Jaen;4110.0;Andalucia;0.39251265399675295
481;2005-09-01;La Rioja;440.0;La Rioja;0.028543626337982485
483;2005-09-01;Las Palmas;243287.0;Canarias;0.7426773836089394
485;2005-09-01;Lleida;794.0;Cataluna;0.10013873123975281
487;2005-09-01;Lugo;1088.0;Galicia;0.06817896979571375
489;2005-09-01;Madrid;23571.0;Comunidad de Madrid;0.313252531696037
491;2005-09-01;Malaga;41633.0;Andalucia;0.23349317181234402
493;2005-09-01;Murcia;7326.0;Region de Murcia;0.22335365853658537
495;2005-09-01;Navarra;2068.0;Navarra;0.07744448189342021
497;2005-09-01;Santa Cruz de Tenerife;121751.0;Canarias;0.8373751685053233
499;2005-09-01;Sevilla;3638.0;Andalucia;0.06000032985338017
501;2005-09-01;Tarragona;37511.0;Cataluna;0.4563326480213136
503;2005-09-01;Valencia;15158.0;Valencia;0.20694645441389292
505;2005-10-01;A Coruna;630.0;Galicia;0.03589539057603555
507;2005-10-01;Alicante;44373.0;Valencia;0.18358405322212293
509;2005-10-01;Almeria;5736.0;Andalucia;0.10658936336269373
511;2005-10-01;Asturias;2310.0;Principado de Asturias;0.08814438890372801
513;2005-10-01;Barcelona;8178.0;Cataluna;0.20032824633172477
515;2005-10-01;Cadiz;1636.0;Andalucia;0.027020331312864385
517;2005-10-01;Cantabria;2234.0;Cantabria;0.07361761022869572
519;2005-10-01;Castellon;6365.0;Valencia;0.06900402207261414
521;2005-10-01;Cordoba;945.0;Andalucia;0.08820235206272167
